,single,danceability,energy,instrumentalness,explicit,collab,timesig_0,timesig_1,timesig_3,timesig_4,timesig_5,track_number,duration_s
4663,0,0.455,0.91,0.0,1,0,0,0,0,1,0,0.20833333333333334,0.03793980500211954
8113,1,0.807,0.606,0.0,1,0,0,0,0,1,0,0.0,0.04408647732089869
374,0,0.765,0.765,3.82e-06,0,0,0,0,0,1,0,0.041666666666666664,0.04408647732089869
5468,0,0.661,0.909,0.0,0,0,0,0,0,1,0,0.9999999999999999,0.0294616362865621
9381,0,0.653,0.404,0.911,0,0,0,0,0,1,0,0.041666666666666664,0.037727850784230604
8132,0,0.562,0.865,0.873,0,0,0,0,0,1,0,0.9999999999999999,0.006782534972445952
8035,0,0.934,0.873,0.0,1,0,0,0,0,1,0,0.3333333333333333,0.028825773632895298
8108,0,0.377,0.948,0.957,0,0,0,0,0,1,0,0.9999999999999999,0.016532428995337006
1081,0,0.766,0.809,0.0,1,0,0,0,0,1,0,0.041666666666666664,0.035820262823230184
8296,0,0.377,0.962,0.292,0,0,0,0,0,1,0,0.41666666666666663,0.05192878338278932
735,1,0.843,0.854,0.872,0,0,0,0,0,1,0,0.0,0.07270029673590504
829,0,0.852,0.643,0.00117,1,0,0,0,0,1,0,0.3333333333333333,0.03645612547689699
